;model;Confusion matrix;Accuracy;Precision;Recall
0;AdaBoostClassifier;"[[4 2]
 [1 4]]";0.7272727272727273;0.6666666666666666;0.8
1;BaggingClassifier;"[[6 0]
 [2 3]]";0.8181818181818182;1.0;0.6
2;BernoulliNB;"[[6 0]
 [3 2]]";0.7272727272727273;1.0;0.4
3;CalibratedClassifierCV;"[[6 0]
 [4 1]]";0.6363636363636364;1.0;0.2
4;DecisionTreeClassifier;"[[5 1]
 [2 3]]";0.7272727272727273;0.75;0.6
5;DummyClassifier;"[[6 0]
 [5 0]]";0.5454545454545454;0.0;0.0
6;ExtraTreeClassifier;"[[6 0]
 [2 3]]";0.8181818181818182;1.0;0.6
7;ExtraTreesClassifier;"[[6 0]
 [2 3]]";0.8181818181818182;1.0;0.6
8;GaussianNB;"[[6 0]
 [2 3]]";0.8181818181818182;1.0;0.6
9;KNeighborsClassifier;"[[6 0]
 [2 3]]";0.8181818181818182;1.0;0.6
10;LabelPropagation;"[[6 0]
 [2 3]]";0.8181818181818182;1.0;0.6
11;LabelSpreading;"[[6 0]
 [2 3]]";0.8181818181818182;1.0;0.6
12;LinearDiscriminantAnalysis;"[[5 1]
 [2 3]]";0.7272727272727273;0.75;0.6
13;LinearSVC;"[[6 0]
 [2 3]]";0.8181818181818182;1.0;0.6
14;LogisticRegression;"[[6 0]
 [2 3]]";0.8181818181818182;1.0;0.6
15;NearestCentroid;"[[6 0]
 [3 2]]";0.7272727272727273;1.0;0.4
16;NuSVC;"[[6 0]
 [2 3]]";0.8181818181818182;1.0;0.6
17;PassiveAggressiveClassifier;"[[6 0]
 [2 3]]";0.8181818181818182;1.0;0.6
18;Perceptron;"[[6 0]
 [2 3]]";0.8181818181818182;1.0;0.6
19;QuadraticDiscriminantAnalysis;"[[6 0]
 [2 3]]";0.8181818181818182;1.0;0.6
20;RandomForestClassifier;"[[6 0]
 [2 3]]";0.8181818181818182;1.0;0.6
21;RidgeClassifier;"[[4 2]
 [2 3]]";0.6363636363636364;0.6;0.6
22;RidgeClassifierCV;"[[4 2]
 [2 3]]";0.6363636363636364;0.6;0.6
23;SGDClassifier;"[[6 0]
 [2 3]]";0.8181818181818182;1.0;0.6
24;SVC;"[[6 0]
 [2 3]]";0.8181818181818182;1.0;0.6
25;XGBClassifier;"[[6 0]
 [2 3]]";0.8181818181818182;1.0;0.6
26;LGBMClassifier;"[[6 0]
 [2 3]]";0.8181818181818182;1.0;0.6
